,open,high,low,close,volume,qav,num_trades,taker_base_vol,taker_quote_vol
2022-12-31 23:00:00,1196.18,1197.43,1193.6,1196.13,5927.432,7086714.366494,11029.0,3263.052,3901192.222121
2023-01-01 00:00:00,1196.13,1196.7,1192.72,1194.09,5889.384,7036229.662778,15832.0,2550.8294,3046971.697395
2023-01-01 01:00:00,1194.09,1196.37,1193.84,1196.02,3157.2079,3773474.994579,8245.0,1583.8715,1892939.782829
2023-01-01 02:00:00,1196.01,1196.74,1194.11,1195.4,3752.0476,4484632.175954,8377.0,1771.7331,2117551.972758
2023-01-01 03:00:00,1195.41,1195.41,1191.71,1194.04,7493.4207,8941606.828967,10244.0,3409.5492,4068125.506566
2023-01-01 04:00:00,1194.05,1194.05,1190.57,1192.92,6409.2491,7641846.882229,10211.0,2832.3239,3377224.723354
2023-01-01 05:00:00,1192.92,1194.67,1192.71,1194.54,2316.3448,2765081.23703,7332.0,1203.6576,1436771.218447
2023-01-01 06:00:00,1194.55,1195.23,1193.81,1194.81,4102.0957,4899784.445077,12437.0,2464.4186,2943526.943054
2023-01-01 07:00:00,1194.81,1195.75,1193.04,1195.06,5826.7698,6960068.323581,10202.0,2978.3992,3557578.371255
2023-01-01 08:00:00,1195.07,1195.9,1194.17,1194.28,3124.6022,3734149.847429,7964.0,1508.1465,1802224.457374
2023-01-01 09:00:00,1194.27,1196.55,1193.98,1196.48,2763.9478,3303313.973067,8452.0,1498.1619,1790406.736775
2023-01-01 10:00:00,1196.47,1197.19,1195.59,1197.14,2006.5809,2400028.446332,7025.0,1017.4945,1216995.71412
2023-01-01 11:00:00,1197.14,1197.41,1195.72,1196.34,2854.0542,3414885.466884,7821.0,1370.1182,1639370.957917
2023-01-01 12:00:00,1196.35,1198.5,1195.83,1197.17,4418.7365,5289955.583378,9228.0,2360.9452,2826257.428783
2023-01-01 13:00:00,1197.16,1197.29,1193.54,1195.26,4804.449,5742834.498842,10193.0,1915.1418,2289290.678044
2023-01-01 14:00:00,1195.26,1195.86,1194.2,1194.5,3496.2584,4178623.539318,8320.0,1650.5311,1972652.969916
2023-01-01 15:00:00,1194.5,1196.81,1194.34,1196.81,2771.4134,3312992.416681,7903.0,1432.0601,1711801.363998
2023-01-01 16:00:00,1196.81,1198.35,1195.88,1197.34,8667.6825,10377660.301532,11497.0,5146.765,6161953.986749
2023-01-01 17:00:00,1197.35,1203.5,1197.34,1200.68,10429.0438,12522356.335459,13059.0,5530.1178,6638510.383249
2023-01-01 18:00:00,1200.67,1202.91,1200.67,1200.92,5269.1583,6331625.061731,9936.0,2781.0277,3341720.960609
2023-01-01 19:00:00,1200.93,1204.51,1200.92,1201.78,6650.6305,7999635.11174,11595.0,3761.8844,4524603.37985
2023-01-01 20:00:00,1201.77,1204.67,1201.39,1201.4,4423.7644,5320571.123451,9276.0,2152.6807,2589032.123537
2023-01-01 21:00:00,1201.4,1203.08,1200.65,1202.85,3422.5871,4113623.565895,8856.0,2137.2872,2568847.664886
2023-01-01 22:00:00,1202.85,1203.08,1200.45,1201.03,3264.0509,3924030.66585,8106.0,1582.5466,1902501.359552
2023-01-01 23:00:00,1201.04,1202.49,1199.36,1200.34,10448.589,12545986.167924,11040.0,5415.8095,6501820.047788
2023-01-02 00:00:00,1200.33,1201.04,1197.5,1198.16,6261.1079,7507532.816424,11561.0,2198.6757,2635937.208236
2023-01-02 01:00:00,1198.16,1198.31,1193.0,1195.16,13822.8726,16525026.990649,15510.0,6183.736,7391564.114635
2023-01-02 02:00:00,1195.15,1197.24,1194.46,1196.79,3160.0153,3779406.950809,8228.0,1622.2515,1940260.351776
2023-01-02 03:00:00,1196.79,1203.53,1196.56,1201.94,8910.252,10690986.971482,12033.0,4934.3438,5919574.967632
2023-01-02 04:00:00,1201.94,1202.95,1199.87,1201.85,6437.8861,7731939.015661,11121.0,4012.4859,4818986.949133
2023-01-02 05:00:00,1201.85,1202.99,1200.15,1202.35,4675.795,5618912.096306,9880.0,2854.159,3429760.612662
2023-01-02 06:00:00,1202.36,1204.19,1200.55,1201.58,5203.7224,6256143.761593,10193.0,2592.1621,3116480.326353
2023-01-02 07:00:00,1201.58,1220.0,1201.39,1213.09,49691.1187,60263985.398012,41385.0,28923.887,35078524.266864
2023-01-02 08:00:00,1213.08,1217.27,1212.74,1215.94,11518.089,13994580.785692,19315.0,6403.6595,7779876.502129
2023-01-02 09:00:00,1215.93,1219.32,1215.74,1217.18,13720.0055,16706460.883697,15732.0,5901.421,7185865.296867
2023-01-02 10:00:00,1217.18,1224.29,1216.61,1217.75,33278.1366,40593646.561157,24191.0,11693.0082,14262164.366965
2023-01-02 11:00:00,1217.74,1217.88,1214.29,1217.35,7768.1952,9447739.707832,12617.0,3449.1448,4194664.86128
2023-01-02 12:00:00,1217.35,1218.67,1216.61,1216.62,5725.8258,6971787.305567,11613.0,2849.3975,3469574.364892
2023-01-02 13:00:00,1216.62,1217.01,1214.04,1214.95,6919.2938,8410152.758808,11662.0,3249.1166,3949404.675177
2023-01-02 14:00:00,1214.95,1218.39,1214.92,1216.78,9916.8659,12063732.515522,14018.0,4770.7464,5803091.624089
2023-01-02 15:00:00,1216.77,1220.98,1215.45,1219.0,14366.9228,17507888.798071,15843.0,8024.5053,9779162.062385
2023-01-02 16:00:00,1219.0,1220.29,1216.26,1216.51,7288.0316,8879943.36149,10860.0,3854.3533,4696834.881311
2023-01-02 17:00:00,1216.52,1217.37,1215.74,1217.08,5356.3496,6516647.535069,9365.0,2239.5815,2724813.231438
2023-01-02 18:00:00,1217.09,1219.35,1216.66,1218.03,3683.9939,4487261.57587,8297.0,1809.4005,2204105.038401
2023-01-02 19:00:00,1218.04,1219.3,1217.38,1218.87,2832.7757,3451173.923561,7815.0,1381.0537,1682482.302438
2023-01-02 20:00:00,1218.88,1218.88,1216.61,1218.4,3148.2116,3834308.075295,8261.0,1418.835,1727821.7461
2023-01-02 21:00:00,1218.39,1223.85,1218.09,1219.79,6210.7274,7578705.183233,9867.0,3652.1454,4455802.89565
2023-01-02 22:00:00,1219.79,1220.31,1211.22,1215.11,12767.6245,15530501.006713,17138.0,4823.7021,5866629.094896
2023-01-02 23:00:00,1215.1,1217.11,1212.82,1214.0,10130.3211,12308973.548966,13495.0,4628.1716,5623793.869286
2023-01-03 00:00:00,1213.99,1216.81,1213.0,1215.55,5917.0908,7190137.865479,10854.0,2707.6749,3290395.679729
