Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('gap_percentile', 'red_days_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, red_days_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.3469410086622,0.8622640555398999,0.12124228050100003,260
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.2704644647899,0.8574022652739,0.06594945613530001,197
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: < 0.3, pm_dollar_volume_percentile: 0.3 - 0.7, red_days_percentile: > 0.7",0.4355810606732001,0.8539797087062999,-0.02083940212700002,179
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",0.15087407613049997,0.8010902881773999,0.2258210150437,119
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",0.2491821521232,0.7914502720472,-0.011078570602800025,143
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: < 0.3, open_from_BB_up_percentile: > 0.7, green_days_percentile: < 0.3",0.2071896910162,0.7878979981591001,-0.039572366054299965,429
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile')","gap_percentile: < 0.3, consecutive_days_above_20sma_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3",0.5086393959315999,0.7835541204855001,-0.038595505941399974,177
"('open_from_BB_up_percentile', 'red_days_percentile', 'green_days_percentile')","open_from_BB_up_percentile: < 0.3, red_days_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.3644219022276,0.7751040367508,-0.1154319181891,210
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","pm_dollar_volume_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, red_days_percentile: < 0.3",0.5067465431405,0.7690407084719999,0.15305318599379997,337
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: < 0.3, pm_dollar_volume_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.39031882141290003,0.7661166132149,0.09489022695459998,313
"('1month_change_from_high_percentile', 'red_days_percentile', 'green_days_percentile')","1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3, green_days_percentile: > 0.7",0.2032197828035,0.7560437630021,0.23561504282329998,191
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: < 0.3, open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.25099067586190005,0.7498181654039001,0.05663394879519998,204
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, red_days_percentile: > 0.7",0.24642971382319995,0.7350256413905999,-0.06532843583780001,246
"('gap_percentile', 'red_days_percentile', 'green_days_percentile')","gap_percentile: < 0.3, red_days_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.22056022937490005,0.7341555599345,0.04945746531310001,187
"('gap_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","gap_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, red_days_percentile: 0.3 - 0.7",0.22056022937490005,0.7341555599345,0.04945746531310001,187
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'red_days_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: < 0.3, red_days_percentile: < 0.3",0.1598988187705,0.7325496982422999,0.10199351849470001,156
"('gap_percentile', 'open_from_BB_up_percentile', 'x_day_high_at_open_percentile')","gap_percentile: 0.3 - 0.7, open_from_BB_up_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3",0.28643322356020007,0.7254255811766,0.04683155250430001,235
"('x_day_high_at_open_percentile', 'red_days_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: < 0.3, red_days_percentile: < 0.3, green_days_percentile: > 0.7",0.45615214156399997,0.7143929431619999,0.09267182188889997,484
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",0.2361565772634,0.6960147736981,0.12592548684149998,131
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.1919398377787,0.6911762578424,0.0870875105821,89
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', 'x_day_high_at_open_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, open_from_BB_up_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3",0.2576761365732001,0.6876113835473999,0.03794345951229994,237
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: < 0.3, red_days_percentile: < 0.3",0.3580649178939,0.6874474563598,0.0797676669984,127
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.10164399133680002,0.6851185925311001,0.10607162319360003,306
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, open_from_BB_up_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.31668364075130007,0.6821186480976,-0.0037573641676000038,83
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', 'green_days_percentile')","open_from_BB_up_percentile: > 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.45049578026250003,0.6818182095891001,0.004507592950600003,199
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","open_from_BB_up_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.4590298736851001,0.6808787950215,-0.01360442103340001,133
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', 'red_days_percentile')","open_from_BB_up_percentile: > 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, red_days_percentile: > 0.7",0.3470141192648,0.6701919085054999,-0.0009098655765999932,117
"('pm_dollar_volume_percentile', 'red_days_percentile', 'green_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, red_days_percentile: > 0.7, green_days_percentile: < 0.3",0.19015827958009993,0.6663531702921,-0.0894976843106,268
"('gap_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.11305829188359999,0.6615642896217,0.12621514419560004,217
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, red_days_percentile: 0.3 - 0.7",0.249640276174,0.6600487148137,0.0423162200297,115
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.20664049440219998,0.6590789169139001,0.06221453600610001,169
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: < 0.3, pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",0.3264988569487,0.6577786697088,0.01705019580370002,142
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.23016608900700003,0.6253809539162999,-0.05607424186349999,156
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, red_days_percentile: 0.3 - 0.7",0.42702884419320003,0.6237847544646,0.03721519185429999,240
"('gap_percentile', 'consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.1651747998925,0.6222410715156999,0.08814565928240001,133
"('consecutive_days_above_20sma_percentile', 'red_days_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, red_days_percentile: < 0.3, green_days_percentile: > 0.7",0.37383431999709993,0.6208552742664002,0.17887720004369997,255
"('gap_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","gap_percentile: < 0.3, pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",0.1588797108174,0.619509979889,0.06079953191450001,130
"('gap_percentile', 'open_from_BB_up_percentile', 'green_days_percentile')","gap_percentile: 0.3 - 0.7, open_from_BB_up_percentile: > 0.7, green_days_percentile: < 0.3",0.3827818102679,0.6161691446091001,0.03420883942770002,169
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.1791091380296,0.6023130453539001,0.1920085306745,147
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: 0.3 - 0.7",0.3228479598299001,0.5999767029605001,-0.0316859392947,358
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, green_days_percentile: < 0.3",0.18261867358320005,0.5994944798308,-0.07086035655169999,225
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","consecutive_days_above_20sma_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, red_days_percentile: 0.3 - 0.7",0.27673203280299996,0.5967253311965,0.03649701820040002,86
"('consecutive_days_above_20sma_percentile', 'pm_dollar_volume_percentile', 'x_day_high_at_open_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3",0.3918979647187,0.5726283185126,0.08334658504770001,178
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: 0.3 - 0.7, open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.25498685602300003,0.5698545169337,0.048735792485500015,70
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.05544779669639996,0.5695767576290001,0.12668119430070002,263
"('open_from_BB_up_percentile', 'x_day_high_at_open_percentile', 'red_days_percentile')","open_from_BB_up_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, red_days_percentile: > 0.7",0.08568301567569994,0.5691066529619999,-0.10227840807210002,271
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', 'x_day_high_at_open_percentile')","open_from_BB_up_percentile: < 0.3, pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3",0.19203251402080004,0.5660358245566001,-0.10075146386459999,235
"('consecutive_days_above_20sma_percentile', 'x_day_high_at_open_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: < 0.3, x_day_high_at_open_percentile: < 0.3, green_days_percentile: < 0.3",-0.12417183045899988,0.5580618856517001,0.1182756166162,694
"('gap_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","gap_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",0.16421922659189997,0.5565962521522,0.2154424222317,165
"('open_from_BB_up_percentile', 'red_days_percentile', 'green_days_percentile')","open_from_BB_up_percentile: > 0.7, red_days_percentile: > 0.7, green_days_percentile: < 0.3",0.0493976962296999,0.5545016153436999,-0.08988028089570001,283
"('gap_percentile', 'red_days_percentile', 'green_days_percentile')","gap_percentile: > 0.7, red_days_percentile: < 0.3, green_days_percentile: 0.3 - 0.7",0.22533759783499996,0.5535870548195,-0.09827026243729997,225
"('open_from_BB_up_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","open_from_BB_up_percentile: > 0.7, 1month_change_from_high_percentile: 0.3 - 0.7, green_days_percentile: 0.3 - 0.7",0.19534820830660002,0.550592896845,0.10909371407850002,75
"('consecutive_days_above_20sma_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","consecutive_days_above_20sma_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: < 0.3",0.10078947702849997,0.5490541439689001,0.022467440826000006,227
"('consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","consecutive_days_above_20sma_percentile: 0.3 - 0.7, open_from_BB_up_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.13907348497190003,0.5450569810892,0.05813206136639998,96
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: 0.3 - 0.7",0.08768602033319994,0.54112252157,0.07456605533409996,164
