date,ticker,open_to_close_move
2023-08-08,CVX,"0,01121"
2023-08-03,QCOM,"0,01491"
2023-08-02,AMZN,"-0,01471"
2023-08-02,TSM,"-0,01867"
2023-08-02,ROST,"-0,01027"
2023-07-27,HON,"-0,03583"
2023-07-25,CDNS,"0,02782"
2023-07-20,KLAC,"-0,01895"
2023-07-07,NEE,"-0,00662"
2023-07-07,BMY,"-0,00917"
2023-07-07,SPOT,"0,00288"
2023-06-29,GILD,"0,00198"
2023-06-28,GILD,"0,00382"
2023-06-28,KHC,"-0,00624"
2023-06-27,GILD,"-0,00835"
2023-06-23,CVX,"0,00245"
2023-06-23,NXPI,"-0,00966"
2023-06-22,BAC,"-0,01930"
2023-06-22,CVX,"-0,00456"
2023-06-08,MA,"-0,00501"
2023-05-31,EBAY,"-0,01653"
2023-05-30,JD,"-0,02698"
2023-05-25,ALL,"-0,01342"
2023-05-23,IDXX,"-0,04240"
2023-05-05,MCHP,"0,05873"
2023-05-05,TEAM,"0,00796"
2023-04-28,GM,"0,01882"
2023-04-28,TEAM,"-0,01809"
2023-04-27,GM,"0,01112"
2023-04-27,ALGN,"-0,01345"
2023-04-20,T,"-0,05665"
2023-04-20,ROKU,"-0,03442"
2023-04-20,NXPI,"0,01935"
2023-04-20,MCHP,"-0,00296"
2023-04-19,PFE,"-0,00458"
2023-04-06,TSM,"0,00658"
2023-04-06,IDXX,"-0,00552"
2023-03-24,MMM,"0,00787"
2023-03-23,SQ,"0,03132"
2023-03-20,F,"-0,01324"
2023-03-17,PM,"-0,00462"
2023-03-15,MRO,"-0,04257"
2023-03-15,BIDU,"0,00979"
2023-03-13,NKE,"0,00881"
2023-03-13,MMM,"-0,00164"
2023-03-13,MRO,"-0,01671"
2023-03-13,LUV,"-0,03390"
2023-03-10,ORCL,"-0,00391"
2023-03-10,MRO,"-0,02162"
2023-03-09,KHC,"-0,00224"
2023-03-02,JNJ,"0,00494"
2023-03-02,PFE,"0,01448"
2023-03-02,DLTR,"0,03030"
2023-03-01,JNJ,"-0,00281"
2023-03-01,EXC,"-0,00774"
2023-02-28,UNH,"-0,01440"
2023-02-23,GILD,"-0,00734"
2023-02-17,MRO,"-0,01147"
2023-02-16,PAYX,"0,00809"
