ticker,week_day,open,high,close,low,freeFloat,floatShares,market_cap,outstandingShares,volume,dollar_volume,average_volume,average_volume_previous_day,average_dollar_volume_previous_day,relative_volume,float_rotation,pm_float_rotation,pm_volume,average_dollar_volume_per_transaction,gap,x_day_high_at_open,x_day_low_at_open,previous_day_close,sigma,sigma_percent,max_up,max_down,open_from_20sma,open_from_50sma,open_from_200sma,sigma_ratio_open_from_20sma,consecutive_days_above_20sma,open_from_BB_up,open_from_BB_down,1month_change_from_high,3month_change_from_high,6month_change_from_high,red_days,green_days,pm_dollar_volume,first_15min_move,first_15min_max_up,first_15min_max_down,first_15min_volume,first_15_min_relative_volume,first_hour_move,first_hour_max_up,first_hour_max_down,first_hour_volume,first_hour_relative_volume,open_to_close_move,open_to_close_max_up,open_to_close_max_down,open_to_close_volume,open_to_close_relative_volume,power_hour_move,power_hour_max_up,power_hour_max_down,power_hour_volume,power_hour_relative_volume,first_hour_to_close_move,first_hour_to_close_max_up,first_hour_to_close_max_down,first_hour_to_close_volume,first_hour_to_close_relative_volume,first_hour_to_power_hour_move,first_hour_to_power_hour_max_up,first_hour_to_power_hour_max_down,first_hour_to_power_hour_volume,first_hour_to_power_hour_relative_volume,open_to_power_hour_move,open_to_power_hour_max_up,open_to_power_hour_max_down,open_to_power_hour_volume,open_to_power_hour_relative_volume,duration_before_breakout_of_pm_high,move_from_breakout_of_pm_high,lower_move_before_breakout_of_pm_high,duration_below_open,duration_below_9ema,duration_below_9ema_first_hour,duration_below_20ema,duration_below_20ema_first_hour,duration_below_vwap,duration_below_vwap_first_hour,number_of_red_candles_one_hour_before_open,percent_of_red_candles_one_hour_before_open,number_of_red_candles_one_hour_after_open,percent_of_red_candles_one_hour_after_open,number_of_red_candles_during_open,percent_of_red_candles_during_open,from_pm_high_to_open,pm_high_vs_high,pm_retracement,break_200sma,test_of_pm_high,days_til_next_earnings,eps_diff_percent,revenue_diff_percent,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
TSLA,Monday,382.5833,400.3567,399.9267,378.68,85.57117381758407,2712178272,1212597732622.0032,3169499904,104686035.0,41866740513.6345,,,,,0.0385985080998392,0.002376864775649969,6446481.0,36003.74642998932,,0,0,,,,0.0464562880815759,-0.0102024840080578,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,2466315974.3673,0.0152019181182241,0.0193858435535476,-0.0102024840080579,14401554.0,,0.0037074278987086,0.0193858435535476,-0.0102024840080579,29788647.0,,0.0452189104960933,0.04645628808157598,-0.0102024840080579,92179113.0,,0.004412163263604253,0.0056012319696217006,-0.0058441194725197265,20068254.0,,0.041317473953606715,0.04255023284143622,-0.0013369210245283147,62390466.0,,0.03683147113133354,0.03715984226727631,-0.0013369210245283147,42322212.0,,0.040716100258427326,0.04104570168117627,-0.0102024840080579,72110859.0,,0:05:00,0.03793056309567104,-0.0102024840080579,5,70,20,0,0,5,5,30,0.45454545454545453,7,0.5833333333333334,30,0.38461538461538464,-0.005416117381618901,0.04078855799059289,na,False,False,18,,,,,,,,,,
TSLA,Tuesday,396.5167,402.6667,383.1967,374.35,85.57117381758407,2712178272,1256759642584.3967,3169499904,99798258.0,38242363131.3486,,,,,0.0367963489090292,0.000966105741296935,2620251.0,36370.48345915621,-0.0085265624925766,0,0,399.9267,,,0.0155100655281353,-0.0559035722833363,,,,,0.0,,,-0.0418326658360143,-0.0418326658360143,-0.0418326658360143,0.0,0.0,1038973279.6917,0.0127593617116252,0.0145161603533974,-0.0096255718863795,9932475.0,,-0.0027060650913316,0.0155100655281352,-0.0121306366163139,24936963.0,,-0.03355899007532352,0.015510065528135275,-0.05590357228333631,94624071.0,,0.0034990617319123818,0.008186474170262414,-0.004470325013132714,9581694.0,,-0.03080502794709023,0.0023351627507020023,-0.05321328308758433,69687108.0,,-0.034126558587723455,0.0023351627507020023,-0.05321328308758433,60105414.0,,-0.036871082605095834,0.015510065528135275,-0.05590357228333631,85042377.0,,None,None,None,0,225,50,260,55,370,40,30,0.4918032786885246,7,0.5833333333333334,40,0.5128205128205128,-0.01707125350734609,-0.0018259642397571113,1.9808433527009002,False,True,17,,,0.0,0.5,,0.0,0.5,0.0,0.5,0.5
TSLA,Wednesday,382.2167,390.1133,362.7067,360.3367,85.57117381758407,2712178272,1211435793957.1968,3169499904,80119797.0,29059987174.5399,,,,,0.0295407561616215,0.000537562008755743,1457964.0,35788.69044190296,-0.0025574332973118,0,0,383.1967,,,0.0206600077913915,-0.057245013103823,,,,,0.0,,,-0.0930670545377439,-0.0930670545377439,-0.0930670545377439,1.0,0.0,557258188.7988,0.0074826662466606,0.0094883347587899,-0.0153664138694097,6731838.0,,0.010805388670877,0.0206600077913916,-0.0153664138694097,19012752.0,,-0.05148048214533792,0.020660007791391655,-0.05724501310382302,74417016.0,,-0.015888725446418245,0.0016468812000651756,-0.02186956168855403,20440644.0,,-0.06150660108723787,0.00020709293295362308,-0.06721019932694794,55404264.0,,-0.04651100181206314,0.00020709293295362308,-0.04719984468030025,34963620.0,,-0.03632468178391991,0.020660007791391655,-0.0370208837028837,53976372.0,,0:00:00,-0.0395937697123124,-0.019657173535327033,10,295,20,310,10,320,10,22,0.38596491228070173,5,0.4166666666666667,47,0.6025641025641025,-0.0015323796842921047,0.01909596913088263,-1.491103202846753,False,False,16,,,0.5,0.5,,0.0,0.5,0.0,1.0,0.5
TSLA,Thursday,359.0,362.6667,354.9,340.1667,85.57117381758407,2712178272,1137850465536.0,3169499904,90324504.0,32056166469.6,,,,,0.0333033063985847,0.0008699063127071612,2359341.0,36387.18789612406,-0.0102195520512855,0,3,362.7067,,,0.0102136490250696,-0.0524604456824512,,,,,0.0,,,-0.1125873816376851,-0.1125873816376851,-0.1125873816376851,2.0,0.0,847003419.0,0.0055710306406685,0.0102136490250697,-0.0076462395543175,7843563.0,,-0.0326091922005571,0.0102136490250697,-0.0524604456824512,32151264.0,,-0.011420612813370538,0.010213649025069715,-0.05246044568245123,84533172.0,,-0.010607602347332786,0.007852413543162351,-0.016712897785088,9754815.0,,0.022422718353798585,0.04149901171565662,-0.0002880875509589931,52381908.0,,0.033454743030225914,0.03711518345271214,-0.0002880875509589931,42627093.0,,-0.000753760445682456,0.010213649025069715,-0.05246044568245123,74778357.0,,0:10:00,-0.01699164345403906,-0.05246044568245123,0,180,50,175,50,65,50,30,0.46875,6,0.5,35,0.44871794871794873,-0.008287292817679558,0.0018417127071822972,-4.24508277911412,False,True,15,,,0.0,0.5,,0.3333333333333333,0.5,0.0,1.0,0.5
TSLA,Friday,360.1233,360.31,342.32,336.6667,85.57117381758407,2712178272,1141410764778.163,3169499904,83999748.0,28754793735.36,,,,,0.0309713225222681,0.0006789409896135323,1841409.0,34915.23839836806,0.0147176669484361,0,0,354.9,,,0.0005184335476211,-0.0651349135143435,,,,,0.0,,,-0.1440431459064873,-0.1440431459064873,-0.1440431459064873,3.0,0.0,663134285.7297,-0.0067429683111311,0.0,-0.0254171279670044,6397266.0,,-0.0286196422169849,0.0005184335476211,-0.0326460409531957,18195945.0,,-0.049492215582829444,0.0005184335476211555,-0.06513491351434353,79445376.0,,-0.0050864699898270594,0.007082110158407096,-0.012527248946374026,12211896.0,,-0.021160995138690242,0.004670574778381509,-0.03726994566771513,61249431.0,,-0.016299685444666825,0.004670574778381509,-0.03726994566771513,49037535.0,,-0.04477161016796184,0.0005184335476211555,-0.06513491351434353,67233480.0,,None,None,None,390,260,40,310,45,370,40,26,0.5,7,0.5833333333333334,44,0.5641025641025641,-0.01873760217983659,-0.01822888283378746,0.568322314049588,False,False,14,,,0.75,0.5,,0.25,0.5,0.0,1.0,0.5
TSLA,Monday,333.3333,353.0333,352.7067,326.6667,85.57117381758407,2712178272,1056499862350.0032,3169499904,91814877.0,32383722277.5759,,,,,0.033852817843089,0.0013139954835535235,3563790.0,33331.74373282491,-0.0262523369946248,0,5,342.32,,,0.0591000059100005,-0.0199998019999802,,,,,0.0,,,-0.1180716366274119,-0.1180716366274119,-0.1180716366274119,4.0,0.0,1187929881.207,-0.0150099015009902,0.0073701007370101,-0.0189900018990001,10131825.0,,0.0137901013790101,0.01726440172644,-0.0199998019999803,27179259.0,,0.058270205827020624,0.05910000591000064,-0.019999801999980305,84303627.0,,0.01902735650114108,0.019826385879770037,-0.022638299101597537,13208445.0,,0.043899157853494235,0.04471768945633059,-0.02245753608374934,57124368.0,,0.02456512179430656,0.030256964472887615,-0.02245753608374934,43915923.0,,0.03867000386700035,0.044440204444020415,-0.019999801999980305,71095182.0,,4:35:00,0.025270202527020297,-0.019999801999980305,35,100,25,85,35,35,30,28,0.4745762711864407,5,0.4166666666666667,34,0.4358974358974359,-0.03194579205670785,0.025266217353941627,5.463666616996929,False,False,13,,,0.0,0.5,,0.8,0.5,0.2,1.0,0.5
TSLA,Tuesday,351.2233,358.6167,354.8,346.2733,85.57117381758407,2712178272,1113202215632.5632,3169499904,66045210.0,23432840508.0,,,,,0.0243513528154981,0.0009177803781181534,2489184.0,36380.29726070783,-0.0042057607638301,0,0,352.7067,,,0.0210504257547833,-0.0140935980044603,,,,,0.0,,,-0.1128374274585817,-0.1128374274585817,-0.1128374274585817,0.0,1.0,874259418.7872,-0.009841886913539,0.0084752349858336,-0.0140935980044604,6715335.0,,0.009571403719514,0.020243531679134,-0.0140935980044604,19315254.0,,0.01018354989546541,0.02105042575478322,-0.014093598004460417,60244968.0,,0.004444696090366031,0.006143306061206388,-0.004907001104096587,6938901.0,,0.0008555791915694439,0.011622111009778058,-0.01813839169729914,40929714.0,,-0.0038615310100206758,0.011622111009778058,-0.01813839169729914,33990813.0,,0.005422476242322148,0.02105042575478322,-0.014093598004460417,53306067.0,,None,None,None,0,190,15,215,20,130,15,32,0.49230769230769234,5,0.4166666666666667,37,0.47435897435897434,-0.023710692855354012,-0.003159387280116802,1.2105128714557396,False,True,12,,,0.5,0.5,,0.5,0.5,0.3333333333333333,0.16666666666666666,1.0
TSLA,Wednesday,359.6167,371.6133,368.74,357.53,85.57117381758407,2712178272,1139805096126.7966,3169499904,83739015.0,30877924391.1,,,,,0.0308751883548752,0.000839429333795651,2276682.0,40546.79397626908,0.0135758173618939,2,0,354.8,,,0.0333594073912585,-0.0058025670109313,,,,,0.0,,,-0.0779810400255846,-0.0779810400255846,-0.0779810400255846,0.0,2.0,818732867.7894,-0.0031700418807023,0.0092968429997828,-0.0057933905739082,7635696.0,,0.0182647246359805,0.0223521321451423,-0.0058025670109314,23024694.0,,0.025725446009598595,0.03335940739125842,-0.005802567010931403,76488240.0,,-0.005933654530764809,0.001464684002848049,-0.0073746233188471955,11110050.0,,0.006964738435348345,0.01445907325546436,-0.014031574318069673,53463546.0,,0.012830427878390442,0.01354920482740729,-0.014031574318069673,42353496.0,,0.03170041880702435,0.03243258725192688,-0.005802567010931403,65378190.0,,0:00:00,0.021169762138410146,-0.005802567010931403,0,130,5,45,5,15,5,22,0.38596491228070173,4,0.3333333333333333,35,0.44871794871794873,-0.004649642426748638,0.028554655648572305,0.258581411815416,False,False,11,,,0.7142857142857143,0.5,,0.2857142857142857,1.0,0.7142857142857143,0.21428571428571427,1.0
TSLA,Thursday,369.6883,371.8667,343.8533,342.1797,85.57117381758407,2712178272,1171727031359.923,3169499904,96909162.0,33322535153.9346,,,,,0.0357311180465057,0.0005504704522608904,1492974.0,36049.65554636128,0.0025717307588002,0,0,368.74,,,0.0058925316273194,-0.0744102531781503,,,,,0.0,,,-0.1402091933346785,-0.1402091933346785,-0.1402091933346785,0.0,3.0,551935020.0042,-0.0028808052621628,0.0018439858659307,-0.0090752128211794,6558549.0,,-0.009599438229449,0.0058925316273195,-0.0194171684632703,18746436.0,,-0.06997327207812644,0.005892531627319508,-0.07441025317815031,89885868.0,,-0.026088434410673256,0.0,-0.03073478174659361,17621382.0,,-0.060948234163709376,0.0007229567867397257,-0.0654282720076429,71139432.0,,-0.03553577051980509,0.0007229567867397257,-0.04288578566447976,53518050.0,,-0.044805042518251306,0.005892531627319508,-0.0520844181436092,72264486.0,,0:25:00,-0.072132929281235,-0.0520844181436092,25,310,55,360,55,375,45,18,0.32142857142857145,7,0.5833333333333334,48,0.6153846153846154,-0.005180115996924638,0.0006818916330497299,0.6699613684613418,False,True,10,,,0.625,0.5,,0.0,0.4375,0.125,0.25,1.0
TSLA,Friday,339.96,350.6667,349.87,337.7929,85.57117381758407,2712178272,1077503187363.84,3169499904,72916011.0,25511124768.57,87035261.7,,,0.8377755127724283,0.0268846674839816,0.0014577990837912,3953811.0,35914.26676545118,-0.0113225611038195,0,3,343.8533,,,0.0314939992940346,-0.0063745734792328,,,,,0.0,,,-0.125164686428788,-0.125164686428788,-0.125164686428788,1.0,0.0,1344137587.56,0.0177667960936581,0.0224614660548301,-0.0063745734792328,9877761.0,0.1134914838775052,0.0219928815154723,0.0282092010824803,-0.0063745734792328,22293750.0,0.2561461821858347,0.029424932344981836,0.031493999294034625,-0.00637457347923287,66801723.0,0.7675248134515577,0.01340733720148041,0.01544420998496232,-0.0006370656985585921,11273541.0,0.12952843226758518,0.007088633093525191,0.009112805755395748,-0.021582733812949617,44507973.0,0.5113786312657229,-0.006666762589928131,0.0028776978417266452,-0.021582733812949617,33234432.0,0.38185019899813777,0.015364454641722541,0.028209201082480373,-0.00637457347923287,55528182.0,0.6379963811839725,0:10:00,0.011658136251323697,-0.00637457347923287,5,140,5,85,0,75,5,30,0.5769230769230769,5,0.4166666666666667,36,0.46153846153846156,-0.019534610607057374,0.01134416567430935,2.3518402777777836,False,False,9,,,0.1111111111111111,0.5,,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.6111111111111112,0.3333333333333333
