,first_hour_move,open_to_close_move,power_hour_move,gap_percentile,consecutive_days_above_20sma_percentile,open_from_BB_up_percentile,pm_dollar_volume_percentile,x_day_high_at_open_percentile,1month_change_from_high_percentile,red_days_percentile,green_days_percentile
2539,"0,01001389291","-0,002141823444","-0,01760984784","0,048","0,879","0,824","0,599","0,003","0,26","0,526","0,003"
2540,"0,02613756614","0,05566137566","0,007066424389","0,101","0,003","0,929","0,428","0,003","0,139","0,975","0,003"
2541,"0,0003362126933","0,001500025863","-0,001675732811","0,698","0,982","0,137","0,018","0,003","0,729","0,003","0,5"
2542,"0,01044611036","0,03834336979","0,005414410662","0,088","0,003","0,852","0,829","0,003","0,222","0,516","0,003"
2543,"0,009877760853","-0,01359482102","-0,009331854515","0,086","0,003",#VALUE!,"0,68","0,003","0,275","0,003","0,489"
2544,"0,02891442914","-0,004337329502","-0,007636685981","0,098","0,003","0,634","0,671","0,003","0,241","0,003","0,711"
2545,"-0,005356525746","-0,006105287409","0,005242922055","0,49","0,698","0,113","0,015","0,003","0,741","0,003","0,746"
2546,"0,01861516006","-0,03609061644","-0,01760678187","0,095","0,937","0,592","0,784","0,003","0,41","0,525","0,003"
2547,"-0,001300924341","-0,05641903458","-0,01750958892","0,093","0,003","0,918","0,43","0,003","0,063","0,754","0,003"
2548,"-0,008401880141","-0,01316098707","0,001610113901","0,042","0,578","0,626","0,637","0,003","0,322","0,92","0,003"
2549,"-0,01207467386","0,0008996851102","0,0001798076059","0,764","0,751","0,095","0,043","0,003","0,817","0,5","0,003"
2550,"0,04370957239","0,01640937703","-0,009183664833","0,083","0,003","0,736","0,975","0,003","0,3","0,733","0,003"
2551,"0,02317762783","0,01973502965","0,006909041394","0,09","0,003","0,655","0,804","0,003","0,384","0,525","0,003"
2552,"0,01316464276","-0,0432081333","0,002100032536","0,081","0,003","0,749","0,295","0,003","0,093","0,003","0,489"
2553,"-0,00618400021","-0,01904986505","-0,004732280534","0,078","0,552","0,132","0,683","0,003","0,557","0,003","0,489"
2554,"0,04958571429","0,01088809524","-0,01257729993","0,088","0,003","0,829","0,42","0,003","0,219","0,754","0,003"
2555,"0,001600660918","0,004388908969","-0,002870617183","0,558","0,985","0,129","0,013","0,003","0,799","0,003","0,746"
