Parameters,Filter,Sum_first_hour_move,Sum_open_to_close_move,Sum_power_hour_move,Number of Rows
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'open_from_BB_up_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: > 0.7, open_from_BB_up_percentile: 0.3 - 0.7",0.47379722547190006,1.5445256976821997,0.2646273019609,186
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'green_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, green_days_percentile: > 0.7",0.8673573591029999,1.5314216694508,-0.02719015061639999,180
"('pm_dollar_volume_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7, red_days_percentile: < 0.3",0.6201975101151,1.5071883405395998,0.12148436807639998,182
"('pm_dollar_volume_percentile', 'x_day_high_at_open_percentile', '1month_change_from_high_percentile')","pm_dollar_volume_percentile: > 0.7, x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7",0.6617614143648001,1.4785844764769998,-0.004558497698700004,129
"('gap_percentile', 'consecutive_days_above_20sma_percentile', 'red_days_percentile')","gap_percentile: 0.3 - 0.7, consecutive_days_above_20sma_percentile: > 0.7, red_days_percentile: < 0.3",0.2912526110707,1.4779290036168002,0.08896547428509999,247
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",0.6794087615440001,1.4743430881094999,0.1905253855881,137
"('open_from_BB_up_percentile', 'pm_dollar_volume_percentile', '1month_change_from_high_percentile')","open_from_BB_up_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: > 0.7, 1month_change_from_high_percentile: > 0.7",0.6096589886557999,1.4705836278315,0.11777325724169996,102
"('gap_percentile', 'pm_dollar_volume_percentile', 'x_day_high_at_open_percentile')","gap_percentile: 0.3 - 0.7, pm_dollar_volume_percentile: 0.3 - 0.7, x_day_high_at_open_percentile: < 0.3",0.5759422008466999,1.4355213915448,0.12408057678849999,372
"('gap_percentile', 'open_from_BB_up_percentile', '1month_change_from_high_percentile')","gap_percentile: > 0.7, open_from_BB_up_percentile: 0.3 - 0.7, 1month_change_from_high_percentile: > 0.7",0.6896802294125,1.4302292070456,0.2715972877932,98
"('x_day_high_at_open_percentile', '1month_change_from_high_percentile', 'red_days_percentile')","x_day_high_at_open_percentile: < 0.3, 1month_change_from_high_percentile: > 0.7, red_days_percentile: > 0.7",0.4114661728548,1.4192067362504999,0.14304431263470002,93
