Unnamed: 0,ticker,green_days,red_days,from_pm_high_to_open,gap,market_cap,number_of_red_candles_one_hour_before_open,percent_of_red_candles_one_hour_before_open,pm_float_rotation,pm_dollar_volume,sigma_percent,pred,returns,date,cumulative_returns,win,Running_Max,Drawdown
1542,KLAC,0,0,-0.0056901384879293,-0.0196361536240253,65210688502.4,1.0,1.0,1.6127628916069966e-05,1047085.9,,0.5842426,1.0043972228066482,2023-07-05,0.0043972228066482,1,0.0043972228066482,0.0
116,TSM,0,0,-0.0183930300096804,-0.016965584100824,525900985958.4,14.0,0.4117647058823529,4.388821951493305e-06,17210419.2,,0.5651201,1.01,2023-07-05,0.0144411950347147,1,0.0144411950347147,0.0
1612,GM,1,0,-0.0114300228600456,-0.0126839167935058,54103467909.12,12.0,0.3428571428571428,5.6474667255508864e-05,3015794.04,,0.66717935,0.9980729701952724,2023-07-06,0.0124863366167393,0,0.0144411950347147,-0.1565598043668523
462,CRM,1,0,-0.0100773377079915,-0.0122532971658404,205708800000.0,3.0,0.3,1.0733518411730052e-05,2139244.8,,0.6091838,0.99,2023-07-06,0.0023614732505718,0,0.0144411950347147,-5.115332888575974
2095,IDXX,1,0,,-0.016143443122284,40167526334.0,,,,,,0.60896116,0.99,2023-07-06,-0.0076621414819337,0,0.0144411950347147,2.884746590592851
1129,PDD,1,0,-0.0203739882779792,-0.0228285077951002,93267014630.4,13.0,0.3421052631578947,0.0001176329754657,5633690.4,,0.6897824,0.99,2023-07-06,-0.0175855200671144,0,0.0144411950347147,1.8211980640663736
324,ADBE,1,0,-0.0113491246138001,-0.0149201658252267,218779442000.0,6.0,0.5,2.3083962763019805e-05,5035095.100000001,,0.6646815,0.99,2023-07-06,-0.0274096648664433,0,0.0144411950347147,1.5268650713199552
140,GOOGL,1,0,-0.0148437499999999,-0.0160574948665297,1522989690002.885,24.0,0.4705882352941176,3.185271539004804e-05,41508368.525,,0.579686,0.9927793313577362,2023-07-06,-0.034432417401111,0,0.0144411950347147,1.4194069462647945
2210,AEP,1,0,-0.0044439246871712,-0.0078088578088578,43824158511.04,1.0,0.25,2.380875475666608e-06,104284.25,,0.6006702,0.9951838364853756,2023-07-06,-0.039082748763328,0,0.0144411950347147,1.3695030542034223
347,AMZN,1,0,-0.0146742470805162,-0.0163368614818223,1315896316416.0,31.0,0.543859649122807,9.87223915096554e-05,113761597.5,,0.7968788,0.9999610136452242,2023-07-06,-0.0391202114241949,0,0.0144411950347147,1.3691492072505311
2187,MNST,1,0,-0.0040859457555477,-0.0074074074074073,59189357984.768005,2.0,0.1538461538461538,5.190914974018494e-06,221046.132,,0.5095711,1.0025111409775764,2023-07-06,-0.0367073068125772,1,0.0144411950347147,1.3934147255327014
1566,FCX,0,1,-0.0151748971193416,-0.0227156712608473,54880673487.36,9.0,0.5,0.000568297468406,30951415.18,,0.5195952,0.99,2023-07-06,-0.0463402337444515,0,0.0144411950347147,1.3116340567972178
899,F,1,0,-0.0084967320261438,-0.0117263843648208,59616886400.0,11.0,0.2972972972972973,0.00011752864569,6990396.68,,0.6716779,0.99,2023-07-06,-0.055876831407007,0,0.0144411950347147,1.2584469210418363
1934,ADSK,1,0,-0.0020458060975001,-0.0188864361049791,42745200000.0,0.0,0.0,1.755786777853806e-05,749000.0,,0.7517561,0.99,2023-07-06,-0.0653180630929369,0,0.0144411950347147,1.2210903745594428
1773,AAL,1,0,-0.0104338275672708,-0.0163755458515284,11764590827.52,11.0,0.282051282051282,0.0003866205247238,4494512.36,,0.66506094,0.99,2023-07-06,-0.0746648824620076,0,0.0144411950347147,1.1934134838029509
1290,NEE,1,0,-0.0063266589088185,-0.0088058705803868,150319874177.28,0.0,0.0,7.344267993902045e-07,110172.07,,0.5151977,0.99,2023-07-06,-0.0839182336373876,0,0.0144411950347147,1.1720864990690276
715,HD,1,0,-0.0079534432589719,-0.0127413127413128,308490789381.12,5.0,0.4545454545454545,8.789246947796782e-05,27078936.84,,0.6648973,0.9938404380132968,2023-07-06,-0.0895608960621865,0,0.0144411950347147,1.1612444232881225
1842,JD,1,0,-0.0247159090909092,-0.0247159090909092,53777943901.44,17.0,0.3863636363636363,0.0001799004763002,7319087.34,,0.68219686,0.9921351587532772,2023-07-06,-0.096721355079466,0,0.0144411950347147,1.1493072033869862
2,TSLA,1,0,-0.0155409232512037,-0.0155409232512037,881406228303.3599,36.0,0.5454545454545454,0.0014512391160668,1095144004.28,,0.58556986,0.99,2023-07-06,-0.1057541415286713,0,0.0144411950347147,1.136554415987572
2049,PAYX,1,0,-0.007558915073366,-0.0113394755492558,40236931814.4,1.0,0.5,8.304929356008178e-06,298195.2,,0.6397133,0.9993727598566308,2023-07-06,-0.1063150484291461,0,0.0144411950347147,1.1358339693965254
2233,SPOT,1,0,-0.0033894049711272,-0.0121321470789522,30710910040.0,4.0,0.6666666666666666,2.6828527629929827e-05,601299.86,,0.661431,0.99,2023-07-06,-0.1152518979448546,0,0.0144411950347147,1.1253011472455274
2026,TEAM,1,0,-0.0106470588235294,-0.0264528826117156,43226005648.1,0.0,0.0,3.302316393189263e-06,83422.24,,0.64916897,0.99,2023-07-06,-0.1240993789654061,0,0.0144411950347147,1.1163679879392496
